att,rlx,del,the,lal,hal,hbe,lbe,lga,mga,result
64,44,173763,14239,1857,3887,445,535,774,138,left
57,30,370791,11132,3483,1895,633,1591,282,210,left
78,35,208751,16705,5987,2437,1092,2629,486,210,left
84,93,62195,32964,11285,14071,8294,8771,6554,215,right
50,54,203655,34663,1612,2377,568,1994,212,223,right
87,41,91135,28117,12456,15468,6491,10622,2210,227,right
81,77,77566,26892,4232,8212,2610,11298,1987,240,right
54,38,40180,21128,11017,5915,6000,8668,902,249,right
78,57,74466,19344,15786,7875,6868,5425,3119,259,right
38,57,151949,11691,1289,2710,2085,1243,1053,280,up
87,87,31289,26306,5670,7990,3874,4163,1502,296,right
56,26,159153,18743,1556,3531,1895,3438,696,301,up
26,26,118608,22928,9218,7075,1613,2753,1399,307,left
66,54,58014,109662,11473,12950,5357,6538,2968,317,right
40,53,58846,25594,2327,1457,1611,2812,575,339,up
88,30,73009,39438,4800,6890,1467,5695,1159,350,left
90,41,107523,11145,6086,2624,2708,3321,1608,355,left
38,70,200685,2180,1354,4661,1374,1837,1278,361,right
100,80,6741,26357,24506,9388,7990,10238,2201,363,right
54,78,267708,22020,12563,7039,4829,2150,922,364,right
54,38,123256,41728,19360,5580,4019,4129,2251,372,left
69,48,30663,51723,17900,27747,12797,2855,3273,375,right
93,78,22511,24771,19488,12544,13475,29761,4200,383,right
74,74,22781,30975,24372,3971,7575,2362,5631,387,right
60,66,179397,50747,3277,4477,2012,3967,580,397,right
50,63,261648,10228,530,9344,1696,3700,962,406,right
67,53,173815,19169,5789,11754,3766,3762,3076,406,down
11,67,63652,34569,6189,1753,2480,5490,1368,408,left
35,88,61673,25091,15521,3535,1400,3689,518,416,right
3,57,205440,39770,4209,8347,2987,10380,2120,439,left
63,34,291654,5814,1170,7776,6108,1168,954,445,left
66,47,96714,9555,3583,4869,4518,7678,1341,453,down
77,67,24452,11712,21505,6621,4313,19043,6521,457,right
100,60,181024,36155,4062,7533,1598,3583,1176,470,left
81,13,282298,17598,7921,2582,2289,2738,714,505,left
87,53,202219,23401,2428,7323,4670,1538,762,505,down
69,47,50152,87742,609,2462,1757,6548,1590,506,left
53,30,213263,58535,11585,3534,2102,1962,343,518,left
60,29,185973,46792,12220,4438,2958,5248,949,523,left
96,83,14717,35917,16469,26889,7282,20562,1397,524,right
48,37,117952,7647,2204,4210,1501,5506,694,545,up
81,67,147136,13284,21226,7683,3443,1633,710,550,down
78,54,628473,29180,3685,11223,2506,13206,2158,568,right
100,91,43798,29881,10038,11233,5744,10084,4990,595,right
100,30,105645,48402,3034,3048,3594,6489,2008,605,left
84,83,276261,29313,17823,12538,6730,11524,2852,605,right
84,43,14941,10292,45506,10674,10121,33110,2972,611,right
78,90,67811,30547,13810,6961,7404,4808,2637,613,right
87,53,61839,59640,4664,9390,4614,18760,5619,613,right
56,56,12094,8519,18269,14890,7464,31422,6059,615,up
74,53,25581,10456,5958,9139,9154,6765,1152,618,right
35,35,15740,8852,2672,1183,1296,3453,729,627,up
96,51,158961,21488,3672,877,2139,7565,1316,628,down
63,78,102622,76094,19848,20110,8642,12272,3465,630,right
96,29,81051,27696,6314,1203,2560,8069,1765,637,left
30,51,445254,26534,8063,2670,3636,4475,1095,641,down
91,60,50521,92506,33163,11947,13269,16200,4765,643,right
50,38,25540,9558,1747,6604,4207,10902,2352,645,up
90,29,69181,84105,6608,5301,2791,9792,1163,656,left
43,64,139210,134468,4559,4715,8657,23532,677,664,left
97,84,30771,39245,17196,20076,4378,12231,2458,675,right
97,69,14676,18574,3152,4029,5306,8289,3486,684,right
57,81,90770,9132,9269,2864,2091,2615,552,687,right
90,80,16459,9576,33698,24022,5156,9538,5247,688,right
80,44,167445,21018,44944,39358,7624,4104,3606,695,right
40,51,14454,10357,6576,6445,5677,4256,1016,697,right
44,78,90120,27461,9242,3002,4546,3112,2135,700,down
77,94,68280,39060,31742,3015,4227,11179,2630,703,right
40,43,198449,24779,5640,6551,3337,1505,1259,705,left
61,21,73043,18510,9140,1125,1072,1636,576,709,left
51,34,143652,32169,3006,7839,1618,6419,2590,712,left
47,56,213565,9285,6792,1572,3381,7316,1097,723,down
54,97,94335,25194,22044,17610,7134,6002,2855,731,right
67,67,188221,39254,5184,3706,3570,6075,2784,735,down
48,66,92469,23611,3408,3426,3001,5701,1487,741,right
