att,rlx,del,the,lal,hal,hbe,lbe,lga,mga,result
51,40,2785,423,80,4,16,48,17,18,left
64,44,32773,29292,4213,1731,2384,4030,775,1011,left
88,48,157738,109232,10470,29951,12147,18525,3982,1844,left
100,51,535528,34629,47306,24107,5860,19668,3393,5761,left
93,50,92686,158942,24472,43519,14611,14650,1822,5637,left
78,51,517051,104163,13014,52738,11942,14748,2639,5214,left
37,44,199467,89285,37857,14237,13635,9456,5177,4414,left
1,37,254696,24103,14124,2331,5620,8305,660,1473,left
23,35,708138,162634,46651,12078,14840,21498,3456,3178,left
35,29,70805,66156,37061,28883,11208,28202,3981,1413,left
77,34,121868,104268,12888,16121,7008,16385,3449,2362,left
69,44,226251,115592,7839,26327,8606,28628,3597,1723,left
35,54,102910,79991,15325,11123,11705,20927,6546,2530,left
27,47,124064,133614,58820,10870,18789,25022,2850,1307,left
1,48,190600,69072,26592,18554,32950,36967,5573,4160,left
20,38,150794,35626,15703,11229,3317,2570,1591,1679,left
26,26,118608,22928,9218,7075,1613,2753,1399,307,left
11,27,326642,72429,7042,17202,10506,24955,6269,1430,left
4,37,122400,9438,3440,2459,1260,5244,1049,1440,left
1,34,635686,50073,9174,10101,7263,16238,7397,3596,left
1,51,224599,77778,13511,7638,5746,20479,4885,3697,left
3,57,205440,39770,4209,8347,2987,10380,2120,439,left
11,50,180180,76624,54677,17999,9048,7323,4012,2682,left
11,67,63652,34569,6189,1753,2480,5490,1368,408,left
1,43,704135,29262,39052,21741,6623,17814,5536,1930,left
4,37,93298,84460,10028,40717,10762,12887,1653,2950,left
11,30,1023558,74417,18793,18215,10054,24073,3097,1475,left
29,16,168446,94947,106925,19657,12853,17759,6560,5205,left
50,34,249385,223488,6240,25917,9358,39126,6624,2111,left
61,37,203124,109766,15995,20075,13299,17251,4292,3260,left
63,47,450644,102354,30331,7449,16099,35580,6557,2082,left
61,53,123961,39630,1380,16911,7222,19101,5892,2121,left
57,50,139779,54636,27402,15486,10236,21124,3744,2770,left
41,48,182169,83850,19411,18452,18377,9200,1980,3764,left
24,50,251008,51987,22618,29329,13308,19670,3179,2710,left
17,53,144753,118275,29737,38889,20967,10718,4629,1545,left
24,54,113977,63483,31388,10898,9541,33897,3880,3599,left
30,57,37799,115063,14134,25907,9733,20647,4608,3379,left
35,48,208324,102007,73927,25548,10328,14785,3066,2241,left
47,41,43258,58177,32353,12483,9030,6227,2350,1947,left
40,23,302097,58002,28775,12506,12451,29011,7013,4719,left
35,17,268547,31619,15521,6566,4918,19745,7900,1892,left
54,16,92117,142491,17765,36564,12688,16416,4333,2299,left
50,13,231907,133845,30230,21190,29139,15543,6802,1655,left
50,29,459202,149779,12628,4615,14660,35587,2366,3112,left
56,29,75712,149221,18450,23084,12523,19073,9857,3511,left
50,47,169577,65294,19159,11773,15471,33999,2895,2945,left
30,48,181424,58943,6850,9864,9456,11314,4925,3501,left
40,43,198449,24779,5640,6551,3337,1505,1259,705,left
37,53,230290,93025,28053,1345,12182,18464,3988,3140,left
27,43,272053,33451,23039,38518,11547,9141,4330,5892,left
38,43,452081,233486,28025,42004,14464,4988,3765,5319,left
11,48,304186,51153,9228,10225,9429,11626,3275,2355,left
16,35,144795,82498,20999,34478,12122,6104,2673,2628,left
16,40,57843,104856,51738,21708,13346,44328,4064,4472,left
16,51,311741,114803,4595,34666,12657,16282,3077,1408,left
34,56,355276,144975,41775,26525,6169,18110,5011,3682,left
16,64,128471,78072,9990,11251,8254,28631,5485,2908,left
23,67,366481,86883,76699,4780,12605,8232,4968,2737,left
13,61,185859,44539,18643,41854,7096,23413,2482,1424,left
1,43,168759,64981,30838,19857,9981,6426,3093,1324,left
21,54,89614,151806,12587,58882,7419,13964,5828,3128,left
8,29,104146,93077,77504,36914,20965,10823,6613,5627,left
10,27,301495,116000,53786,8487,6379,28996,5981,1567,left
47,43,77760,514785,44977,27572,12654,17979,3043,3474,left
47,23,258402,36091,22720,63689,15360,17773,3414,5228,left
38,41,250691,246302,6595,19438,11938,11077,5057,3645,left
47,38,149516,122688,46579,11061,5757,35890,6335,2950,left
27,29,160707,45089,18802,14391,16177,10491,10652,2194,left
14,38,139133,69943,11515,15980,13389,47906,4818,2020,left
30,38,157264,166885,31655,54695,5953,22269,5832,3357,left
30,38,176183,110520,28298,11517,9038,4846,10756,1858,left
30,43,206224,130153,7201,23718,9790,23659,3420,2936,left
26,37,209131,102168,31508,25070,10990,10243,4690,3480,left
23,26,123224,108324,55754,11829,10908,26783,7861,1038,left
48,24,206150,84344,9609,21201,6193,19401,3942,4837,left
57,34,395224,70745,21578,7410,6954,13035,6358,3074,left
60,29,934616,134796,22766,9599,8176,15296,4804,2880,left
61,30,95262,108712,26467,3997,7307,25204,5131,5846,left
37,29,29401,59723,30208,11257,25470,65752,2450,2985,left
29,24,108959,43123,31461,8360,10972,4312,2390,2641,left
38,41,120261,143727,13810,14485,8874,33977,6785,1179,left
41,51,273225,95286,22795,15398,7901,31516,2941,3197,left
51,56,225343,100793,22191,7036,6786,19019,1953,5343,left
56,57,79513,56357,20928,7441,7342,9382,3722,2247,left
48,63,115602,32414,12360,16996,5660,10320,3334,2640,left
60,57,119376,78166,50505,15503,9711,10001,2725,2331,left
53,50,86163,115324,25723,24988,15638,9421,3260,3013,left
50,43,108121,39099,15401,11672,8602,16128,1969,2682,left
51,34,60259,117675,128825,12819,14039,9716,3496,6508,left
35,21,166965,43121,16050,21493,11193,22353,3016,2998,left
30,29,253633,131927,15788,8935,10127,6345,7574,2946,left
23,44,152983,70030,8257,12472,9907,5327,4410,4153,left
29,41,732929,41451,10424,9869,3671,9813,12757,1427,left
37,41,360640,73375,16765,2824,4497,36424,4998,3306,left
48,35,83809,110541,44588,8534,7248,25482,6768,2246,left
37,4,132365,83979,94239,33783,12666,28908,6606,2276,left
17,17,274859,49210,2166,15195,6165,13719,6153,2762,left
16,29,48433,96370,11863,9240,9120,11010,4129,1691,left
14,40,371511,68131,6236,10012,8695,6442,4465,1249,left
41,64,1110426,327394,5244,5681,9352,20150,3925,6189,left
50,53,130414,80057,54039,15560,4469,11024,2804,2443,left
48,48,142307,71923,26702,13841,7295,22344,1572,2795,left
54,38,155436,50803,7373,19156,7009,8468,9486,2890,left
30,48,70470,38394,17259,13175,11828,15216,1919,4969,left
23,53,55565,154318,13876,19847,8275,7507,4742,2459,left
24,63,56299,66038,9705,9341,5293,18941,7528,4880,left
10,74,80127,63603,10328,1331,9992,15007,6420,2009,left
26,54,28222,46126,65035,18534,5052,11337,2734,1304,left
51,57,120032,44662,16402,4940,1941,14487,4157,3077,left
