att,rlx,del,the,lal,hal,hbe,lbe,lga,mga,result
41,44,40,10,5,6,4,6,2,268,right
48,40,51727,24047,3912,586,770,1429,469,15805,right
60,53,1276712,1262018,134717,48773,12767,18107,13501,2219,right
66,54,58014,109662,11473,12950,5357,6538,2968,317,right
66,47,114399,7838,5602,2308,1915,3362,233,3025,right
67,48,96318,152546,52294,10805,7402,9060,4571,1149,right
66,41,95661,86951,11821,9077,5395,28103,3773,1344,right
64,26,32331,39301,29445,6880,7182,14820,3222,4542,right
80,41,402843,65175,10105,12501,4899,7846,2918,1236,right
77,44,683604,243852,53906,4663,11198,11135,3025,1771,right
87,53,47994,96563,12079,9686,7128,8363,3764,1233,right
91,60,50521,92506,33163,11947,13269,16200,4765,643,right
83,40,1205080,140859,14527,3867,6293,6409,2334,2038,right
80,34,92660,19971,21223,2777,8561,9026,1516,2009,right
60,8,422813,108655,16070,12910,5770,12576,2664,1359,right
64,24,85649,25269,16185,15763,15571,9657,3453,2261,right
78,44,99703,49687,3873,7462,4814,9522,2590,1414,right
87,53,61839,59640,4664,9390,4614,18760,5619,613,right
88,66,56970,144601,18904,5668,4109,5919,3115,1238,right
84,67,417699,225758,14374,17189,7215,25903,5288,1261,right
67,48,40325,13108,12135,4815,4198,13946,5621,826,right
74,53,25581,10456,5958,9139,9154,6765,1152,618,right
70,53,229372,37860,4815,6449,3173,3899,856,2196,right
60,21,165181,55349,10864,9900,2994,14067,2471,1950,right
66,30,87809,38845,6997,22589,7411,6423,1976,2314,right
61,37,634575,111435,18488,6012,6365,25837,4066,1603,right
77,37,52975,46018,19718,4819,8548,10685,3247,1812,right
87,64,103234,63017,11025,13272,2622,9428,2089,847,right
78,57,319136,269880,10880,9626,6699,6609,989,3318,right
81,67,105618,77352,22404,7901,9883,17199,3700,3404,right
67,54,179663,92680,16785,40319,9597,9200,3328,3221,right
64,50,139606,28104,8169,5405,8744,6873,3201,1246,right
67,57,64055,60425,26395,9346,8262,8958,1576,2686,right
70,54,426341,140916,18399,20135,5925,38125,2788,1041,right
78,70,36812,25105,27688,4092,4776,6626,3075,2439,right
77,70,22658,125847,6701,11955,5216,11578,2080,1228,right
81,77,77566,26892,4232,8212,2610,11298,1987,240,right
80,64,141606,19257,4538,3406,1318,2021,354,2741,right
67,63,298335,30943,27475,23748,11539,21674,5365,3024,right
70,78,26367,32497,15056,6736,4371,14251,2190,4909,right
80,83,274166,77730,18866,22443,6700,41228,2318,983,right
75,90,49786,36115,14506,8149,5676,8950,1327,2475,right
87,87,31289,26306,5670,7990,3874,4163,1502,296,right
83,70,66341,61481,21632,4302,1685,4103,657,874,right
67,69,63256,23471,29014,5110,4631,12612,2695,1885,right
69,69,64432,9311,13678,13297,10981,23354,2664,3934,right
74,83,1306829,195582,128105,31150,19081,33822,9504,2112,right
70,81,120484,58771,16733,4221,6459,8575,1965,2290,right
78,54,628473,29180,3685,11223,2506,13206,2158,568,right
84,48,134682,57853,15556,28005,4510,11578,4220,981,right
80,50,59188,32911,18224,15156,5167,19221,2387,1657,right
87,41,91135,28117,12456,15468,6491,10622,2210,227,right
87,66,52013,40721,5919,8983,2188,5115,494,3839,right
77,77,32943,40238,3105,2451,5273,10318,2850,1145,right
83,87,46617,18554,7846,6587,6044,10639,3582,1235,right
77,94,68280,39060,31742,3015,4227,11179,2630,703,right
70,84,35830,35895,6170,4022,4697,13375,4047,2470,right
80,67,138024,69172,37906,12995,12439,9002,3455,1691,right
61,44,153655,67589,47038,21361,7350,14177,3222,1137,right
64,54,35555,13150,18494,25966,7562,8384,1733,1331,right
78,66,40129,54072,14077,7761,3473,6683,1246,1046,right
75,74,171796,82015,23144,8107,6477,14906,2809,908,right
93,83,89745,39934,12023,4579,8829,10871,7968,2823,right
100,84,245659,137033,28292,16071,1990,19889,5257,1537,right
100,78,84980,22122,24228,1635,3391,12592,4097,2526,right
100,93,31817,11655,15028,6556,10083,6598,6296,2726,right
100,91,43798,29881,10038,11233,5744,10084,4990,595,right
100,97,13546,9789,9390,1561,2216,7337,594,1150,right
96,97,32553,3539,9611,10804,10735,11259,5553,2687,right
97,88,57315,16442,5375,7287,7420,3766,2843,2679,right
94,100,62452,16929,15881,47731,14678,18914,3273,3908,right
87,96,50541,82177,31944,19155,12101,12209,1434,939,right
88,91,41269,13318,12254,20536,7144,7867,4385,3292,right
77,100,46398,25318,15454,4319,7657,15164,2939,1638,right
75,81,60381,18682,13631,14156,10451,13769,3181,1137,right
80,80,50190,11504,17756,7700,2279,5131,2643,1272,right
70,93,255481,43272,40412,16049,6140,9608,1121,1806,right
80,83,23363,20244,8003,6744,6258,23844,1284,1855,right
90,94,14418,37528,14432,57005,5643,21310,3586,1033,right
93,97,144837,79260,17243,13950,5040,5307,1484,1044,right
100,84,24352,10422,10933,4310,2947,4508,2254,1950,right
97,84,30771,39245,17196,20076,4378,12231,2458,675,right
90,84,21783,23296,7136,15928,8123,7172,3226,1968,right
94,75,13089,22556,25404,6643,7813,7211,4038,2647,right
94,96,29355,19205,16403,14572,7944,5049,2856,1478,right
87,69,25970,30464,7360,6124,7743,10157,2457,1312,right
94,53,38102,46852,18336,21084,7443,13866,4321,2258,right
88,61,71891,42092,28823,24644,5078,15563,2991,2281,right
88,54,32827,11467,4357,12696,9607,13189,2418,1459,right
91,93,24702,19646,29032,17321,12552,7564,5458,3820,right
