att,rlx,del,the,lal,hal,hbe,lbe,lga,mga,result
51,48,42497,37672,6245,22882,7514,16415,6789,6520,up
75,48,115002,66353,3027,20822,9791,8115,6044,9349,up
97,51,9306,11434,15354,14054,5398,3596,6190,2298,up
100,48,16280,4684,20761,8087,7323,13831,4124,4369,up
100,35,50129,8420,15886,4135,8429,21785,3520,5966,up
78,40,60328,12015,6009,10634,9481,3387,3905,9330,up
38,43,13265,23716,1124,14369,6653,11384,1999,2778,up
30,47,9009,5627,5720,3876,9328,8571,2750,1836,up
13,61,3735,16336,12266,8459,4133,7021,2990,1971,up
24,56,7166,8396,14321,10720,3036,16859,1942,1955,up
60,43,5539,18637,10230,3374,4891,6974,4635,1922,up
57,44,6203,3823,10196,20793,8766,8160,2749,1497,up
77,27,25103,14441,6837,11393,6182,14021,4804,3959,up
69,26,3890,10460,7793,5073,12278,19375,1434,3162,up
57,47,36347,29528,16188,9924,7261,6404,2291,2146,up
57,54,4161,4328,933,3993,7472,1816,1658,1807,up
37,60,7315,14166,1867,10768,4078,8776,5085,1742,up
44,54,22175,2606,18493,4607,7429,4675,1490,2370,up
29,44,11976,6341,10577,15995,5360,10767,2414,4979,up
35,41,3536,13461,9960,6658,7137,11621,3101,1327,up
29,40,7092,27284,8972,4504,8599,9436,1868,2808,up
35,51,22196,21101,474,27356,5835,13715,1311,2260,up
27,53,8403,13231,10931,12716,7254,7084,3672,2856,up
23,51,5842,14766,7808,7438,5181,11361,4586,1494,up
30,56,18205,5363,8136,8619,6418,8813,4085,3008,up
38,48,9269,12781,4688,15524,3309,8336,3822,2745,up
66,38,1740,11684,6384,16981,5625,14724,3265,1620,up
69,35,16577,4198,12989,1269,5947,11618,3642,2034,up
75,35,16117,12019,7372,4980,10016,7709,7046,3692,up
60,38,25485,6238,7696,5518,8190,17947,3653,6607,up
54,47,3900,10647,7509,2831,3696,5629,6473,2190,up
63,37,16293,4866,6385,8972,7549,12497,3445,2378,up
56,43,5158,6512,7209,4988,3487,12481,7294,2311,up
53,44,9847,6250,5484,8623,6484,3554,6738,4896,up
40,41,25909,16248,4370,5774,7147,16399,9275,3013,up
38,54,11989,7445,19275,5363,8728,9622,4038,1931,up
29,48,9428,24585,19257,11267,8040,16719,5497,3572,up
37,41,10414,12780,4447,12844,4647,10984,9439,4641,up
54,37,1616,6251,14591,8156,7633,16415,2456,3260,up
50,24,7257,11034,4962,15243,6141,16101,2895,1539,up
35,17,15774,8729,8788,4088,4379,25818,3558,1986,up
17,30,3202,9304,4436,8764,8283,9872,3269,4054,up
1,26,410547,48528,8095,10642,14332,7369,4351,3676,up
1,35,335419,117761,29715,25374,7137,23019,3972,3921,up
17,47,15245,27404,13958,20454,3461,13758,2267,4285,up
35,37,300902,14042,4087,704,1456,635,1052,940,up
56,48,4553,12447,4960,8467,3864,9094,3919,4424,up
63,54,5751,20573,26500,8773,9385,13079,7583,2592,up
61,48,31103,34979,3730,12868,9002,7663,5566,3884,up
56,53,9173,7036,10816,15818,11488,15744,4403,882,up
27,54,20313,3788,11543,5638,5884,8903,2367,2289,up
26,57,67547,20994,6114,15656,6585,19951,3189,2070,up
29,64,9401,38680,21944,7893,9334,8624,4876,5454,up
34,66,200210,80355,45851,40237,5976,8672,1769,6075,up
57,64,13808,10978,20126,9520,8816,6136,2726,2373,up
60,50,10112,11180,14649,9344,5886,12668,10317,1199,up
54,48,3801,13382,8484,8381,5246,9010,3889,3779,up
56,47,10669,9338,9224,14673,7538,12536,11551,1879,up
57,47,26046,31477,3647,18864,14476,11374,4995,2941,up
57,51,17349,20866,20148,8193,5723,16544,4841,4921,up
75,50,25999,16956,8583,10119,7146,9577,5221,3299,up
78,54,5310,8894,14401,4334,6339,11244,2275,2142,up
78,56,4521,19010,13896,8955,13245,6152,13557,4106,up
